"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","sig"
"C11orf93",24.6296070307659,-0.642031905090517,0.134726680728026,6.52022733648987e-08,1.29621169901748e-06,"Down"
"KRT86",160.127781926245,0.872792564237572,0.186726822318456,6.9244994533343e-08,1.37324728262796e-06,"Up"
"GPR64",66.8739103457459,-0.760229577501444,0.162007836594778,7.03062343043872e-08,1.39260752616707e-06,"Down"
"TUBA3E",69.1693038705364,-0.939864928562363,0.20156168452751,7.08539994199108e-08,1.40176251750913e-06,"Down"
"RGN",37.4121551689365,-0.764404627637586,0.163148739690399,7.22839820129104e-08,1.426607119703e-06,"Down"
"HPSE2",5.44026641083594,-1.15697896854092,0.25158503522044,7.30174142045624e-08,1.43417057803949e-06,"Down"
"C11orf92",56.1088838441418,-0.782198318584124,0.167468049409487,7.55808655604997e-08,1.47743455697679e-06,"Down"
"RAB39",12.4420162871624,-0.647458182639101,0.137122248872501,7.87427220834488e-08,1.53375092800116e-06,"Down"
"LOC100124692",27.3065419925003,-1.16173395491898,0.254457721991631,8.34401953520232e-08,1.6233180998355e-06,"Down"
"REEP2",106.652488121104,-0.648529969998784,0.137759580177837,8.38028754517316e-08,1.6284399795668e-06,"Down"
"KCNIP1",5.55716432895784,-0.739790250991529,0.159048508300224,8.80841484473963e-08,1.69753698319623e-06,"Down"
"KIAA1045",22.1620519383177,-0.741208491210739,0.159876796117257,9.42820108114088e-08,1.80635511006045e-06,"Down"
"ITGB8",776.082326184599,-0.598768047222558,0.127096768838404,9.47458095109953e-08,1.81100479066466e-06,"Down"
"SCRG1",118.94950052642,-1.10338608893336,0.241921313404571,9.52519390485173e-08,1.81724936890917e-06,"Down"
"TMC3",23.0081098173847,-1.11334403205193,0.244551150452899,9.70749732093918e-08,1.84690492002677e-06,"Down"
"FAM135B",49.0695838176299,-0.995547852078305,0.217409614899045,9.99393607362399e-08,1.88824298525991e-06,"Down"
"OSR1",159.894732201331,-0.793728252005698,0.172540959509154,1.03332662338394e-07,1.9465784160863e-06,"Down"
"FGFBP2",38.2884939780717,-0.900298315300044,0.19686108495499,1.08348162731805e-07,2.03072225824908e-06,"Down"
"CADM3",99.2071821274133,-0.821052030404786,0.179284141014066,1.10578989282832e-07,2.06780185324437e-06,"Down"
"ABP1",43.7079841222533,0.850115793730658,0.186422088370802,1.18182469313771e-07,2.18504179438926e-06,"Up"
"SCEL",33.8686743671936,1.66975347701387,0.410173555443202,1.18436780947983e-07,2.18727498163349e-06,"Up"
"CIB3",8.36010057514731,0.786761691723085,0.172636852958529,1.26637651862607e-07,2.32561813358897e-06,"Up"
"ADCYAP1",42.0225943590518,-0.936347877831241,0.207207717406912,1.35436373347192e-07,2.46783451813164e-06,"Down"
"CYP4Z2P",384.883856083773,0.938415063697565,0.209068852248317,1.54490078747809e-07,2.76882054701079e-06,"Up"
"BPIL1",355.109333072758,1.26342305938329,0.290703554291867,1.58801082186859e-07,2.83677265790941e-06,"Up"
"NXPH1",177.166014172692,1.50854158288041,0.365459457336537,1.61477277449123e-07,2.87830172132109e-06,"Up"
"FUT3",138.629951539943,0.870964102995543,0.194332043256853,1.6538273550561e-07,2.93514040121061e-06,"Up"
"BMP5",19.2357250819765,-1.1865654464363,0.270508338144413,1.66702235292546e-07,2.95535640295151e-06,"Down"
"LCT",14.6577177400735,1.05149218799847,0.236678468711737,1.70079767934399e-07,3.00872211504686e-06,"Up"
"ALOX15B",1274.94643555245,1.01794068841237,0.228789428334802,1.7193515231703e-07,3.03172199150191e-06,"Up"
"HEPN1",6.32606963551322,-1.03512793245489,0.232931251483796,1.72603735184966e-07,3.04023847963972e-06,"Down"
"CDH22",7.26166052158028,-1.01450306590573,0.228165017324053,1.74660599350057e-07,3.06986617806146e-06,"Down"
"MARCH10",7.55618852997315,0.737707972709697,0.163905662970836,1.75221432524796e-07,3.07642260041659e-06,"Up"
"MAPK4",87.9103466771013,-1.11290990307963,0.252572534593659,1.79968503448301e-07,3.15638549784435e-06,"Down"
"CLUL1",84.4730472600318,-0.617797310151791,0.135621512176024,1.81509875089277e-07,3.1800141859224e-06,"Down"
"ATP6V1B1",549.198809387289,-0.756885565640591,0.16888463908967,1.84982040346574e-07,3.23048060012497e-06,"Down"
"FAM166B",14.0781633246799,-0.761714609157939,0.170358558481871,1.92356008230317e-07,3.34499338728325e-06,"Down"
"PTX3",119.481075208793,-0.788516153857442,0.17678500108928,1.94968963741198e-07,3.37966835454452e-06,"Down"
"KREMEN2",77.2188733885486,0.740620457945224,0.165488848998878,1.95205178281809e-07,3.38018607339779e-06,"Up"
"IQUB",19.0920115019595,-0.615561876682205,0.135697159716942,1.98518339125781e-07,3.42308306654676e-06,"Down"
"TTC22",61.7644178028334,-0.622644739668905,0.137555274269281,2.03450271206659e-07,3.50443626985939e-06,"Down"
