"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"MKI67IP",1026.62863272267,0.369391805075146,0.0548051833005003,8.24662621495241e-12,2.72555732024712e-11
"TCF7",402.97697427192,0.730496309081556,0.112949836786085,8.34353088139173e-12,2.75702935228583e-11
"FAM83G",161.853803628978,0.687446629119036,0.105832529093773,8.36195979084813e-12,2.76256246624938e-11
"DYNC2LI1",359.612705789293,-0.375823438908639,0.0558123700176373,8.40244725552654e-12,2.77537942674994e-11
"SLC4A7",881.175871467978,-0.666893460905714,0.102445535705552,8.41221179105578e-12,2.77804529914814e-11
"CSRNP3",7.22420866783659,1.13723024876029,0.178015718922976,8.44052678290732e-12,2.78683496014551e-11
"LIPA",2191.68011079766,-0.502354641197394,0.0756359915870682,8.59380857710874e-12,2.83687345724119e-11
"MINPP1",458.182570144284,-0.381605065452487,0.0567331515563882,8.63672339575052e-12,2.85046627485907e-11
"MEF2A",1425.17305959302,0.497616882539681,0.0749008708702733,8.70365461629506e-12,2.87197840818925e-11
"TRA2B",2890.11296301766,0.213339919874715,0.0313862871145119,8.71148664631112e-12,2.87398462307806e-11
"FAM178A",858.998303247899,-0.357358253598282,0.0530347900467685,8.74600262354269e-12,2.88479149475107e-11
"LHX2",25.0924271878052,1.27858465413652,0.200156706868545,8.77837188874803e-12,2.89488608948802e-11
"DENND2D",794.602189190453,-0.490191111294966,0.0737323340719955,8.78243673330908e-12,2.89564441681344e-11
"CHD8",2040.23316726024,-0.316239832538395,0.0468059098761641,8.88653738576737e-12,2.92937847143775e-11
"CMPK1",3715.48922373271,0.350683975185609,0.0520350046738163,8.88920164683166e-12,2.92945281032939e-11
"FA2H",146.554422110044,-1.05581281939304,0.16553749185792,8.89033474963098e-12,2.92945281032939e-11
"POLG",1082.60843103676,0.347590263473351,0.0515828203464975,9.04448525717012e-12,2.9796483565648e-11
"PCDHGA12",68.5695205496505,-0.825522414368566,0.128830780318569,9.09905707345445e-12,2.99702476256774e-11
"GLG1",4647.0507491786,0.352293430543054,0.0523217813580206,9.22076399352783e-12,3.03650254538922e-11
"LOC388796",502.233491985682,0.582013687064576,0.0886826005516126,9.33560970086899e-12,3.0737054581163e-11
"FNBP4",1154.14143337102,0.314052481794874,0.0465263848145456,9.35298379267345e-12,3.07880780957701e-11
"RPS10",7584.7374602662,0.512366929608008,0.0773847860051268,9.35807278918981e-12,3.07986492698797e-11
"C14orf162",6.05708602162239,-1.33645359360464,0.209581353399801,9.47778062920595e-12,3.11863662308656e-11
"ZFPM2",129.211881593156,-0.775406267944719,0.120754559549609,9.59876096288833e-12,3.15781139338663e-11
"BAI2",347.099309269272,-1.00302475887259,0.157534152836739,9.60208571073444e-12,3.15827174480002e-11
"CEBPD",754.026455080673,0.814947439245519,0.127278206807338,9.65085690498334e-12,3.17367694090701e-11
"EPS8L2",1591.34321536852,0.606371685711828,0.0927557215338241,9.66062719825428e-12,3.17625311551343e-11
"LY6G5C",26.3461969669948,-0.589588287689287,0.0900032933207154,9.70216888045233e-12,3.1892720670553e-11
"TEAD2",1497.64093304133,0.574284797667065,0.0875091156399439,9.7756871922623e-12,3.21279497124181e-11
"MYLK",2597.15251629589,0.744714399756184,0.1157881083771,9.99544940268969e-12,3.28436211042306e-11
"SLIT3",706.31436218666,-0.759170180421417,0.118211338929279,1.00933962374664e-11,3.31588180418909e-11
"ARFGEF1",2871.28108168319,-0.524440943012822,0.0794796819275278,1.01919450517583e-11,3.34758659759693e-11
"RFX5",1496.29197074885,0.415309188407972,0.0621710892605025,1.02567212782378e-11,3.36818817070942e-11
"IKBKE",451.334263576947,0.568807164896479,0.0867573472419307,1.05188915404467e-11,3.45359043110383e-11
